zip,employed,SNAP,health_ins,poverty
8600000US00601,43.2,52.8,92,59.6
8600000US00602,46.7,45.7,94,49.4
8600000US00603,40.1,43.6,94.3,46.9
8600000US00606,33.3,55.3,95,58.4
8600000US00610,41.5,42.9,97.4,44.6
8600000US00612,39.6,45,94.2,44.3
8600000US00616,34.3,53.3,92.9,48.7
8600000US00617,33.1,43.9,94.5,51.6
8600000US00622,25.9,41.7,98.1,52.4
8600000US00623,35.9,35,93.8,44.7
8600000US00624,41.8,48.1,96.3,56.8
8600000US00627,41.3,45.9,94.7,45.8
8600000US00631,42.8,69.6,93.3,61.5
8600000US00637,36,41.7,95,46.1
8600000US00638,30.1,56.1,95.1,55.3
8600000US00641,37.9,49.7,92.4,47.7
8600000US00646,50,30.5,94.8,32.2
8600000US00647,34,47.1,93.4,53.9
8600000US00650,38.1,43.2,95.4,52.3
8600000US00652,39,41,93.9,42.4
8600000US00653,37.5,54.6,94,63.3
8600000US00656,36.7,50,95.5,52.3
8600000US00659,43.5,43.2,94.1,41.5
8600000US00660,45.6,35.2,94.7,31.3
8600000US00662,36.6,42.3,93,51.6
8600000US00664,39.9,52,98.4,52.2
8600000US00667,29.8,46.3,94.4,56.5
8600000US00669,40.9,53.7,91.2,56.4
8600000US00670,35.5,49.3,97.4,48.1
8600000US00674,40.8,39.2,91.3,41.2
8600000US00676,39.2,49.7,95.2,51.7
8600000US00677,44,38.7,96.3,43.6
8600000US00678,36.9,46.6,95.7,52.3
8600000US00680,39.9,40.5,94.5,47.2
8600000US00682,38.5,38.8,92,43.9
8600000US00683,34,42.3,95.7,45.5
8600000US00685,38.3,50,93.1,53.7
8600000US00687,40.5,50.8,94.7,50.1
8600000US00688,32.7,45.2,92.7,52.8
8600000US00690,47.6,32.6,94.9,40.6
8600000US00692,40.8,41.9,94.3,45.7
8600000US00693,35.5,37.5,93.1,44.4
8600000US00694,0,0,100,-
8600000US00698,38.4,46.3,95,49.5
8600000US00703,38.8,51.9,95,49
8600000US00704,40.7,47.1,93.6,50.5
8600000US00705,31.6,49.4,97.1,43.5
8600000US00707,35.8,46.7,95.9,50.1
8600000US00714,34.8,47.2,95.9,52.2
8600000US00715,34.9,54.2,95.3,69.2
8600000US00716,42.4,42.3,93.5,44.5
8600000US00717,40.8,48.4,94.8,55.6
8600000US00718,39.1,44.2,95.9,47.3
8600000US00719,39.6,54,94.8,47.2
8600000US00720,36.8,55.2,97.7,55.8
8600000US00723,35.8,51,95.3,53.4
8600000US00725,50.1,36.7,92.7,40.3
8600000US00727,53.4,25.2,93.7,28
8600000US00728,41.3,42.6,94.6,48.8
8600000US00729,51.6,38.4,88.9,38.9
8600000US00730,39.8,47,95.4,50.1
8600000US00731,39.9,49.2,94.5,50
8600000US00735,40.9,38,94.1,40
8600000US00736,47.8,34.8,92.8,38.7
8600000US00738,51.9,39.6,93.1,40.6
8600000US00739,52.8,38.1,94.1,37.1
8600000US00740,50.9,71.5,95.1,58.1
8600000US00741,41.6,39,94,40.7
8600000US00745,52.7,38.8,93.2,33.5
