zip,income
8600000US00601,10816
8600000US00602,16079
8600000US00603,16804
8600000US00606,12512
8600000US00610,17475
8600000US00612,17229
8600000US00616,13705
8600000US00617,15361
8600000US00622,15689
8600000US00623,16593
8600000US00624,15573
8600000US00627,17532
8600000US00631,7854
8600000US00637,14767
8600000US00638,12722
8600000US00641,16022
8600000US00646,26861
8600000US00647,13764
8600000US00650,14611
8600000US00652,17500
8600000US00653,13593
8600000US00656,15037
8600000US00659,18687
8600000US00660,20598
8600000US00662,16016
8600000US00664,15922
8600000US00667,13222
8600000US00669,12009
8600000US00670,14031
8600000US00674,18135
8600000US00676,14374
8600000US00677,16792
8600000US00678,15347
8600000US00680,14567
8600000US00682,15363
8600000US00683,14913
8600000US00685,14343
8600000US00687,16536
8600000US00688,14213
8600000US00690,20274
8600000US00692,17987
8600000US00693,17156
8600000US00694,11198
8600000US00698,14766
8600000US00703,14680
8600000US00704,13756
8600000US00705,17238
8600000US00707,19541
8600000US00714,15349
8600000US00715,12027
8600000US00716,18331
8600000US00717,11664
8600000US00718,18614
8600000US00719,17686
8600000US00720,14144
8600000US00723,13284
8600000US00725,19961
8600000US00727,29995
8600000US00728,16949
8600000US00729,20574
8600000US00730,15097
8600000US00731,15141
8600000US00735,20925
8600000US00736,20760
8600000US00738,19708
8600000US00739,23266
8600000US00740,13750
8600000US00741,21690
8600000US00745,22577
8600000US00751,15091
8600000US00754,16571
8600000US00757,15674
8600000US00765,17934
8600000US00766,17611
8600000US00767,15666
8600000US00769,18390
8600000US00771,18827
8600000US00772,16734
8600000US00773,18170
8600000US00775,18547
8600000US00777,19229
8600000US00778,29317
8600000US00780,22090
8600000US00782,12757
8600000US00783,14863
8600000US00784,16141
8600000US00786,17039
8600000US00791,19175
8600000US00794,14238
8600000US00795,18863
8600000US00901,16870
8600000US00906,34625
8600000US00907,29758
8600000US00909,15540
8600000US00911,30877
8600000US00912,18473
8600000US00913,6478
8600000US00915,13332
8600000US00917,14371
8600000US00918,22405
8600000US00920,25000
8600000US00921,18272
8600000US00923,14773
8600000US00924,18543
8600000US00925,10332
8600000US00926,32636
8600000US00927,30507
8600000US00934,65938
8600000US00936,-
8600000US00949,24400
8600000US00950,-
8600000US00951,-
8600000US00952,17697
8600000US00953,30278
8600000US00956,22411
8600000US00957,23353
8600000US00959,27478
8600000US00960,-
8600000US00961,29180
8600000US00962,16035
8600000US00965,16333
8600000US00966,50772
8600000US00968,46206
8600000US00969,52970
