,start_dt,end_dt,weeks,loc_city_orig,loc_city,loc_st,prog_type,recommend,count,precip,maxtemp,meantemp,mintemp,days
0,6/7/15,6/27/15,3,Del Rio,Del Rio,TX,Crew,9.6,5,0.17,90.86,81.90,72.52,20
1,6/8/15,6/22/15,2,Napa,Napa,CA,Crew,8.857142857,7,0.01,77.13,64.40,51.20,14
2,6/8/15,7/3/15,4,Yosemite National Park,Yosemite National Park,CA,Crew,8.5,4,0.00,84.23,74.81,65.15,25
3,6/8/15,7/5/15,4,San Antonio,San Antonio,TX,Crew,8.2,5,0.20,89.75,82.54,74.79,27
4,6/10/15,7/6/15,4,Seward,Seward,AK,Crew,10,1,0.07,63.22,56.41,50.59,26
5,6/15/15,6/30/15,3,Olympia,Olympia,WA,Crew,8.5,2,0.00,82.38,67.38,51.94,15
6,6/15/15,7/5/15,3,St. Marys,St. Marys,GA,Crew,9.428571429,7,0.00,93.67,85.19,76.57,20
7,6/15/15,7/12/15,4,Denali Park,Denali Natl Park,AK,Crew,9.8,5,0.12,69.71,58.04,46.39,27
8,6/15/15,7/12/15,4,International Falls,International Falls,MN,Crew,9.666666667,3,0.07,75.50,61.46,46.89,27
9,6/15/15,7/12/15,4,Kennesaw,Kennesaw,GA,Crew,9.333333333,3,0.00,87.74,80.11,72.78,27
10,6/15/15,7/12/15,4,Spruce Pine,Spruce Pine,NC,Crew,9,3,0.04,89.93,77.04,64.07,27
11,6/26/15,7/10/15,2,Houston,Houston,TX,Community,8.8,10,0.27,93.07,84.67,76.13,14
12,6/28/15,7/11/15,2,Anchorage,Anchorage,AK,Crew,9,3,0.02,68.07,61.14,54.71,13
13,6/29/15,7/23/15,4,Lovell,Lovell,WY,Internships,9,1,0.00,88.68,74.32,59.52,24
14,6/29/15,7/26/15,4,Chinle,Chinle,AZ,Crew,10,1,0.07,84.11,68.57,54.07,27
15,7/5/15,7/19/15,2,Ashford,Ashford,WA,Community,10,3,0.00,82.73,69.00,55.40,14
16,7/5/15,7/19/15,2,Port Angeles,Port Angeles,WA,Crew,9,2,0.01,72.87,63.27,54.80,14
17,7/6/15,7/17/15,2,Minturn,Minturn,CO,Internships,5,1,0.12,58.58,51.25,44.00,11
18,7/6/15,7/26/15,3,Broad Run,Broad Run,VA,Crew,9.4,5,0.01,86.05,76.38,67.38,20
19,7/6/15,7/26/15,3,Hingham,Hingham,MA,Crew,9.5,2,0.07,80.48,73.57,65.95,20
20,7/6/15,7/26/15,3,Morristown,Morristown,NJ,Crew,10,5,0.00,86.76,75.38,63.95,20
21,7/6/15,8/2/15,4,Anchorage,Anchorage,AK,Crew,9.625,8,0.12,68.82,61.93,55.71,27
22,7/7/15,7/24/15,3,Titusville,Titusville,FL,Crew,9,1,0.00,90.22,81.22,72.28,17
23,7/7/15,7/25/15,3,Sumner,Sumner,MO,Internships,7,1,0.23,86.47,77.58,69.21,18
24,7/10/15,8/7/15,4,Redwood City,Redwood City,CA,Community,10,2,0.00,77.45,69.03,60.59,28
25,7/13/15,7/21/15,2,Franklin,Franklin,NC,Crew,5,1,0.10,84.33,72.67,61.67,8
26,7/13/15,8/2/15,3,Girdwood,Girdwood,AK,Crew,9.857142857,7,0.41,63.14,54.81,47.33,20
